concept_id,concept_name,patient_count
4193704,Type 2 diabetes mellitus without complication,71381
4101673,"Finding of blood, lymphatics and immune system",71083
4111017,Neoplasm of head and neck,70957
4081176,Peripheral nerve finding,70871
4117779,Peripheral nerve disease,70614
4320791,Rhinitis,70584
4114166,Systemic arterial finding,70304
4024566,Muscle finding,69892
4085100,Viral upper respiratory tract infection,69671
4225273,Chronic gastritis,69288
4141833,Immune hypersensitivity disorder by mechanism,69230
197331,Disorder of urinary tract,68712
440508,Congenital disease,68652
443723,Disorder of cellular component of blood,68632
40492037,Malignant neoplasm of intraabdominal organ,68343
4297361,Angioedema and/or urticaria,67955
35624868,Lesion of face,67816
4086195,Superficial injury of head,67543
193431,Benign tumor of digestive organ,67051
44784105,Injury of free lower limb,66665
36684472,Primary malignant neoplasm of abdomen,66516
4177703,Ulcer,66145
139900,Urticaria,65952
4317260,Edematous skin,65952
4090861,Male genitalia finding,65941
43530876,Necrosis of anatomical site,65867
4181194,Disorder of male reproductive system,65662
4157453,Disorder of joint of spine,64818
4101079,Middle ear finding,64703
374364,Disorder of middle ear,64703
4179304,Finding of movement,64494
4150129,Musculoskeletal pain,64324
4144111,Gastroesophageal reflux disease without esophagitis,63883
318800,Gastroesophageal reflux disease,63883
196738,Disorder of male genital organ,63580
441737,Contusion,63488
45757399,Mass of uterus,63453
4233903,Mass of thoracic structure,63440
137275,Disorder of muscle,62941
37159368,Enteritis of intestine,62784
4087949,Orbit finding,62627
440409,Disorder of orbit proper,62522
4331509,Mass of head,62497
4181188,Inflammatory disorder of immune system,62410
433243,Anomaly of tooth position,62112
4183452,Otitis,61965
4079975,Congenital malformation,61757
4201554,Lesion of eye,61650
4159157,Disorder of tooth development,61439
4306814,Malformation of tooth,61331
4209223,Polyp,59815
197804,Primary malignant neoplasm of intra-abdominal organs,59546
135772,Goiter,58571
40491001,Malignant neoplasm of digestive system,58494
40484156,Malignant adenomatous neoplasm,58344
134398,Periodontal disease,58341
4090426,Finding of sensation of abdomen,58110
200219,Abdominal pain,58104
4116238,Malignant tumor of digestive organ,57944
372328,Otitis media,57630
4043349,Cartilage finding,57580
4178431,Cartilage disorder,57580
4266188,Disorder of body wall,57526
4242498,Benign neoplasm of pelvis,57477
4134887,Infectious disease of digestive tract,57475
4267789,Respiratory function finding,57421
372604,Movement disorder,57275
437382,Urine finding,56956
